issue_number,title,existing_labels,labels_to_add,all_suggested_labels
1476,Feature Audit: Code Completion** - Monacopilot AI suggestions as you type,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1475,Feature Audit: Command Palette** - Keyboard-driven workflow (Cmd/Ctrl+Shift+P),"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1474,Feature Audit: Find &amp; Replace** - Advanced search with regex support,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1473,Feature Audit: Multi-File Editing** - Tabs and split views,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1472,Feature Audit: Syntax Highlighting** - 50+ languages supported,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1471,Feature Audit: IntelliSense** - Intelligent code completion,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1470,Feature Audit: Monaco Editor** - Same editor core as VS Code,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1469,Feature Audit: Enhanced ESLint configuration (0 warnings in production),"priority: p2, priority:low, feature-audit, triage:done, area:build","area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1468,Feature Audit: Improved Babel configuration for consistent transpilation,"priority: p2, priority:low, feature-audit, triage:done, area:build","area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1467,Feature Audit: Updated dependency management (13 automated dependency updates via Dependabot),"triage:done, feature-audit, priority:low, area:build","area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1466,Feature Audit: Removed VM binaries from repository (added to .gitignore),"priority: p2, priority:low, feature-audit, triage:done, area:git","area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1465,Feature Audit: Build &amp; Configuration,"priority: p2, priority:low, feature-audit, triage:done, area:build","area:performance, area:vm","feature-audit, priority:low, area:performance, area:build, area:vm"
1464,Feature Audit: Fixed SwiftUI state management for VM list updates,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1463,Feature Audit: Resolved app sandbox issues for VM image access,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1462,Feature Audit: Fixed EFI NVRAM file discovery with correct naming pattern (.nvram),"feature-audit, priority:low","triage:done, area:security, area:performance, area:vm","feature-audit, priority:low, area:security, area:performance, area:vm"
1460,Feature Audit: Fixed VZ disk attachment configuration (now uses synchronizationMode: .full),"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:storage, area:vm","feature-audit, priority:low, area:performance, area:storage, area:vm"
1459,Feature Audit: VM &amp; Virtualization,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1458,Feature Audit: Efficient Networking** - Native HTTP/WebSocket implementations,"priority: p2, feature-audit, priority:low","area:networking, area:vm, triage:done, area:performance, area:build","feature-audit, priority:low, area:networking, area:performance, area:build, area:vm"
1457,Feature Audit: Optimized Asset Loading** - Static asset bundling with Tauri resource system,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1455,Feature Audit: Reduced Memory Footprint** - Tauri&#39;s Rust core uses 50-70% less memory than Electron,"priority: p2, priority:low, feature-audit, triage:done, area:performance","area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1453,Feature Audit: Custom Dashboards** - Pre-configured monitoring visualizations,"priority: p2, feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1451,Feature Audit: Prometheus Metrics** - Metrics export on port 9090,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1450,Feature Audit: OpenTelemetry Tracing** - Distributed tracing support with OTLP exporters,"feature-audit, priority:low","area:tracing, area:vm, triage:done, area:performance, area:build","feature-audit, priority:low, area:performance, area:build, area:tracing, area:vm"
1449,"Feature Audit: Datadog Integration** - Optional metrics and APM (3 integration methods: SSH, cloud-init, Lima)","feature-audit, priority:low","triage:done, area:performance, area:tracing, area:vm","feature-audit, priority:low, area:performance, area:tracing, area:vm"
1448,Feature Audit: NAT Networking** - Automatic network configuration,"feature-audit, priority:low","area:networking, triage:done, area:performance, area:vm","feature-audit, priority:low, area:networking, area:performance, area:vm"
1447,Feature Audit: Virtio Block Devices** - High-performance disk I/O,"triage:done, feature-audit, priority:low, area:performance","area:storage, area:vm","feature-audit, priority:low, area:performance, area:storage, area:vm"
1446,Feature Audit: UEFI Boot Support** - Modern boot with VZEFIBootLoader,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1445,Feature Audit: vibecode-ide (50GB) - Full IDE environment,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1444,Feature Audit: vibecode-pgvector (20GB) - PostgreSQL with vector extensions,"feature-audit, priority:low","triage:done, area:rag, area:performance, area:vm","feature-audit, priority:low, area:rag, area:performance, area:vm"
1443,Feature Audit: vibecode-nodejs-codeserver (50GB) - Node.js + code-server,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1442,Feature Audit: vibecode-nodejs (50GB) - Node.js development environment,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1440,Feature Audit: vibecode-postgresql (10GB) - PostgreSQL database VM,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1439,Feature Audit: Native VM Images** - Pre-configured Alpine Linux 3.22 VMs for various services,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1438,"Feature Audit: Multi-Language Support** - Python, Rust, Go, Java, and more","feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1437,Feature Audit: Git Integration** - Built-in version control operations,"triage:done, area:git, feature-audit, priority:low","area:performance, area:vm","feature-audit, priority:low, area:git, area:performance, area:vm"
1436,Feature Audit: TypeScript/JavaScript** - First-class support with full type checking,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1435,Feature Audit: Syntax Highlighting** - Support for 50+ programming languages,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1434,Feature Audit: Monaco Editor 0.53.0** - Full-featured code editor with IntelliSense,"feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1433,Feature Audit: Context-Aware Suggestions** - Intelligent code completion using project context,"feature-audit, priority:low","triage:done, area:performance, area:vm","priority:low, feature-audit, area:performance, area:vm"
1432,Feature Audit: Monacopilot Integration** - AI-powered code completion in Monaco editor (v1.2.7),"feature-audit, priority:low","triage:done, area:performance, area:ui, area:vm","feature-audit, priority:low, area:performance, area:ui, area:vm"
1430,Feature Audit: Multi-Provider Support** - Intelligent routing between AI providers based on task type,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1429,"Feature Audit: 321+ AI Models** - Access to OpenAI GPT-4, Anthropic Claude, Google Gemini, Mistral via OpenRouter",feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1428,Feature Audit: Lima VM Support** - Integration with Lima for lightweight Linux VM management,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1427,Feature Audit: Auto-Start Functionality** - Designated VMs start automatically on application launch,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1426,Feature Audit: VM Discovery System** - Automatic detection and management of VM images,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1425,"Feature Audit: vfkit Integration** - Fast, native VM management without heavy virtualization layers",feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1420,Feature Audit: OpenVSCode Server Backend** - Full VS Code experience with native Rust CLI (no Docker required),feature-audit,"priority:low, area:vm, triage:done, area:performance, area:build","feature-audit, priority:low, area:performance, area:build, area:vm"
1419,Feature Audit: Tauri 2.9.1 Integration** - Native desktop application built with Rust + Swift,feature-audit,"priority:low, area:vm, triage:done, area:performance, area:ui","feature-audit, priority:low, area:performance, area:ui, area:vm"
1418,Feature Audit: Native Desktop Application,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1417,Feature Audit: Memory Usage**: Extension uses ~50 MB when active,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1416,"Feature Audit: Boot Time**: No measurable impact (~120 seconds, same as v3.2.0)",feature-audit,"area:performance, triage:done, priority:low","priority:low, feature-audit, area:performance"
1415,Feature Audit: DMG Size**: 253 MB (compression ratio differences from v3.2.0),feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1414,Feature Audit: Initramfs Growth**: +3 MB (117 MB → 120 MB),feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1410,Feature Audit: Extension Location**: `/.openvscode-server/extensions/datadog.datadog-vscode-2.0.0/`,feature-audit,"triage:done, priority:low, area:tracing","feature-audit, priority:low, area:tracing"
1409,Feature Audit: Requires valid Datadog account,feature-audit,"triage:done, priority:low, area:tracing","feature-audit, priority:low, area:tracing"
1408,Feature Audit: Team collaboration features,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1407,Feature Audit: Real-time performance monitoring,feature-audit,"area:performance, triage:done, priority:low","priority:low, feature-audit, area:performance"
1406,Feature Audit: Cloud log streaming,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1405,Feature Audit: Datadog API integration (requires authentication),feature-audit,"triage:done, priority:low, area:tracing","feature-audit, priority:low, area:tracing"
1404,Feature Audit: No authentication required for basic analysis,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1403,Feature Audit: Best practice recommendations,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1402,Feature Audit: Security vulnerability scanning,feature-audit,"triage:done, area:security, priority:low","area:security, feature-audit, priority:low"
1401,Feature Audit: Complexity analysis,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1400,Feature Audit: Code smell detection,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1399,Feature Audit: Extension Marketplace Ready** - Seamlessly integrated with VSCode ecosystem,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1398,Feature Audit: Code Quality Metrics** - Real-time analysis as you code,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1397,Feature Audit: Code smell detection,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1396,Feature Audit: Extension Marketplace Ready** - Seamlessly integrated with VSCode ecosystem,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1395,Feature Audit: Code Quality Metrics** - Real-time analysis as you code,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1394,Feature Audit: Sidebar Panels** - Setup wizard and configuration interface,feature-audit,"triage:done, priority:low, area:ui","feature-audit, priority:low, area:ui"
1393,Feature Audit: Cloud Integration** - Optional Datadog account connection for full monitoring,feature-audit,"triage:done, priority:low, area:tracing","feature-audit, priority:low, area:tracing"
1392,"Feature Audit: Static Code Analysis** - Works offline, no internet required",feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1391,Feature Audit: 19+ Commands** for code analysis and monitoring,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1388,Feature Audit: OpenVSCode Server**,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1387,Feature Audit: Dropbear SSH**,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1383,Feature Audit: Start/Stop VM with single click,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1380,Feature Audit: Button in menubar opens browser automatically,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1379,Feature Audit: No data loss on VM restart,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1378,Feature Audit: Database initialization on first boot,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1377,Feature Audit: 9p filesystem shared directory (`/Users/Shared/vibecode-data`),feature-audit,"triage:done, priority:low, area:storage","feature-audit, priority:low, area:storage"
1376,Feature Audit: PostgreSQL data survives VM reboots,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1375,Feature Audit: Valkey 7.2: `localhost:6379`,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1374,Feature Audit: PostgreSQL 16: `localhost:5432`,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1371,Feature Audit: No need to remember VM IP address,feature-audit,"area:networking, triage:done, priority:low, area:vm","area:networking, feature-audit, priority:low, area:vm"
1370,Feature Audit: Automatic port forwarding from VM to localhost,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1369,Feature Audit: Modern macOS-native interface,feature-audit,"triage:done, priority:low, area:ui","feature-audit, priority:low, area:ui"
1368,Feature Audit: Console viewer for VM output,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1367,"Feature Audit: Interactive control buttons (Start VM, Stop VM, Open URL)",feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1366,Feature Audit: VM IP address display,feature-audit,"area:networking, triage:done, priority:low, area:vm","area:networking, feature-audit, priority:low, area:vm"
1365,Feature Audit: Real-time service monitoring with status indicators,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1364,Feature Audit: No Telemetry** - Privacy-first design (NEXT_TELEMETRY_DISABLED=1),feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1363,Feature Audit: Sandboxing** - Tauri security sandbox for web content,feature-audit,"priority:low, area:security, area:vm, triage:done, area:ui","feature-audit, priority:low, area:security, area:ui, area:vm"
1362,Feature Audit: Domain Allowlisting** - Controlled external connections,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1361,Feature Audit: CSP Headers** - Strict Content Security Policy,feature-audit,"triage:done, area:security, priority:low, area:vm","area:security, feature-audit, priority:low, area:vm"
1360,Feature Audit: Multi-Provider** - Manage keys for multiple AI providers,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1359,Feature Audit: Key Rotation** - Easy API key updates,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1358,Feature Audit: Environment Variables** - Support for `.env` configuration,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1357,"Feature Audit: Secure Storage** - Platform keychain integration (macOS Keychain, Windows Credential Manager, Linux Secret Service)",feature-audit,"priority:low, area:security, area:storage, area:vm, triage:done","feature-audit, priority:low, area:security, area:storage, area:vm"
1356,"Feature Audit: Multiple Backends** - Jaeger, Zipkin, Datadog support",feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1355,Feature Audit: Context Propagation** - Distributed trace correlation,feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1354,Feature Audit: Metrics** - Prometheus-compatible metrics on :9090,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1353,Feature Audit: Traces** - OpenTelemetry Protocol (OTLP) export,feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1352,Feature Audit: Alerting** - Threshold-based alerts,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1351,Feature Audit: Dashboards** - Pre-configured visualizations,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1350,Feature Audit: Log Aggregation** - Centralized log management,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1349,Feature Audit: Metrics Collection** - Custom application metrics,feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1348,Feature Audit: APM Tracing** - Distributed request tracing,feature-audit,"priority:low, area:tracing, area:vm, triage:done, area:build","feature-audit, priority:low, area:build, area:tracing, area:vm"
1347,Feature Audit: Full IDE** - Complete development environment,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1346,Feature Audit: pgvector** - Vector database for AI embeddings,feature-audit,"triage:done, area:rag, priority:low, area:vm","area:rag, feature-audit, priority:low, area:vm"
1345,Feature Audit: code-server** - Browser-based VS Code,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1344,Feature Audit: Node.js** - JavaScript/TypeScript development,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1343,Feature Audit: Valkey/Redis** - Caching and pub/sub,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1342,Feature Audit: PostgreSQL** - Database development,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1341,Feature Audit: Auto-Start** - Configure VMs to start with application,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1340,Feature Audit: Auto-Discovery** - Automatic VM image detection,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1339,Feature Audit: vfkit Support** - Fast VM provisioning,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1338,Feature Audit: Lima Integration** - Lightweight Linux VMs,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1337,Feature Audit: Apple Virtualization Framework** - Native macOS VM support,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1336,"Feature Audit: Branch Management** - Create, switch, and merge branches",feature-audit,"triage:done, area:git, priority:low, area:vm","area:git, feature-audit, priority:low, area:vm"
1335,Feature Audit: Commit History** - Browse and search commits,feature-audit,"triage:done, area:git, priority:low, area:vm","area:git, feature-audit, priority:low, area:vm"
1334,Feature Audit: Visual Diff** - Side-by-side file comparison,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1333,Feature Audit: Git Integration** - Built-in Git operations,feature-audit,"triage:done, area:git, priority:low, area:vm","area:git, feature-audit, priority:low, area:vm"
1332,Feature Audit: Bug Detection** - AI-powered static analysis,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1330,Feature Audit: Refactoring Assistance** - Intelligent code transformation,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1329,Feature Audit: Code Review** - AI-powered code analysis and suggestions,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1328,Feature Audit: Code Completion** - Monacopilot AI suggestions as you type,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1327,Feature Audit: Command Palette** - Keyboard-driven workflow (Cmd/Ctrl+Shift+P),feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1326,Feature Audit: Find &amp; Replace** - Advanced search with regex support,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1325,Feature Audit: Multi-File Editing** - Tabs and split views,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1324,Feature Audit: Syntax Highlighting** - 50+ languages supported,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1323,Feature Audit: IntelliSense** - Intelligent code completion,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1320,[Feature] Swift Container Management for PostgreSQL/Services,,"priority: p2, triage:done, area:build, area:security, area:git, area:vm","priority: p2, area:build, area:security, area:git, area:vm"
1319,Feature Audit: Improved Babel configuration for consistent transpilation,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1318,Feature Audit: Updated dependency management (13 automated dependency updates via Dependabot),feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
